"n_PORiskAdditionalFloodInfo_PK","n_PORiskMasterFK","n_POTermMasterFK","n_CreatedTransactionFK","s_CommunityNumber","s_CommunityName","s_PanelNumber","s_MapSuffix","s_FloodZone","s_FloodZoneGroup","S_CommunitySFHA","s_CountyName","s_GrandfatheringTypeCode","s_BaseElevation","s_GICommunityNo","s_GIPanelNo","s_GIMapSuffix","s_GIMapZone","s_PriorPolicyNo","s_PriorPolicyExpDt","s_PriorCommunityNumber","s_PriorPanelNumber","s_PriorMapSuffix","s_PriorFloodZone","d_PriorMapDate","s_PriorBaseElevation","s_PolicyTypeCode","s_PolicyWaitingPeriod","d_PropertyPurchaseDt","s_PolicyMeetPRP","d_FloodLoanClosingDt","s_PriorCompanyNAIC","d_PriorNBDate","s_isInsuredTenant","s_RentalProperty","s_CondoOwnership","s_CondoDescription","s_IsCoverageFor","s_ManufactureMobileHome","s_DtOfConstructionSource","d_DateOfConstruction","s_BuildingCourseConstruction","s_BuildingOverWater","s_IsFoudationPartInWater","s_BuildingFederalLand","s_Occupancy","s_InsuredResides","s_NoOfUnits","s_BuildingPurpose","s_AddExtCoverage","s_Foundation","s_NoOfFloors","s_IsInsuredNonProfitEnt","s_IsBuildingHouseWarship","s_BuildingType","s_BuildingUse","s_IsSmallBusinessEmp","s_IsAgriculturalStruct","s_BuildingDescription","s_CBRSorOPA","d_CBRSOPADate","s_SevereLossProperty","s_FloodProgramType","s_FloodConstructionType","s_isBuildingWallRoof","d_InitialFirmDate","s_DetachedGarage","s_AddExtOtherAttachedGarage","n_ReplacementCost","n_ReplacementCostRatio","s_OtherBuilding","s_ContentLocationTRRP","s_PersonalPropertyHousehold","s_PersonalPropertyHouseholdDescribe","s_WithCOC_OR_EC","s_ElevationDifference","s_ElevationDifferenceTRRP","s_ElevationCertificateType","s_ElevatedBldgFreeObstruction","s_SubstantialImprovement","s_PolicyAssignment","n_PercResidentialPurposes","s_IsTownRowCondo","s_ResidentialUnit","s_NonResidentialUnit","s_TotalSqFootage","s_NonResidSqFootage","s_FloorInBuild","s_MobileHomePark","d_MobileHomeParkDate","s_IsPolicyMortgage","s_BaseFloodElevation","d_CurrentFirmDate","s_IsPriorFIPPolicy","s_IsReqByLender","s_IsPriorNFIPLapsed","s_IsCommunitySuspension","d_SuspensionDate","d_ReinstatementDate","s_IsEffeWithIn180Days","s_NoOfElevator","s_BldgConstructionType","s_NoOfDetatchedStruct","s_IsBldgContainME","s_AllMachinaryElevated","s_UnitLocatedOnFloor","s_IsPropNewlyMapped","s_IsNewPurchase","s_IsBldgNRHP","d_SubstantialImprovmentDate","s_IsPreFirmSubsidyEligible","s_RiskRating20","s_IsAddInsureds","s_TableNo","metadata","n_CreatedUser","d_CreatedDate","n_UpdatedUser","d_UpdatedDate"
1,1,1,1,"130304",DAWSON COUNTY*,"0050",C,X,X,,Dawson,,"1754",,,,,,,,,,,,,SFIP,STANDARD30,,,,,,OWNER,NO,NO,,,NO,ORIGINALCONSTRDT,"1999-12-31",NO,NOTOVERWATER,,,SINGLEFAMILY20,YES,"1",,,BASEMENT20,"2",NO,,,MAINHOUSEBLDG20,NO,,,NO,,,FLOODREGULAR,FLDPOSTFIRM,,"1990-12-15",,,250000.0,1,,,,,,,,,,NO,N,,,,,"2348",,,,,No,,"2018-04-04",,,,,,,,,OTHER20,"0",YES,NO,,,YES,NO,,NO,YES,No,,"{""estedTaxsesData"":[{""year"":2022,""amount"":3570,""exemptions"":[],""rate_code_area"":""1""}],""s_RRMethod"":""RatingEngine""}",457249,"2023-12-01 12:31:53",457249,"2023-12-01 12:53:32"
2,2,2,2,"485488",,"0011",D,X,X,,GALVESTON COUNTY,NOGRANDFATHERING,,"485488","0011",D,X,,,,,,,,,PRP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1994-04-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDTWOFLOORS,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,32000.0,781,,LOWESTFLRABOVEGROUNDLEVELHIGHFLRS,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"9999",,NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,P3A,"{""s_RRMethod"":""7"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2016-03-28 12:00:00",1,"2023-12-01 21:37:37"
3,2,3,3,"485488",,"0011",D,X,X,,GALVESTON COUNTY,NOGRANDFATHERING,,"485488","0011",D,X,,,,,,,,,PRP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1994-04-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDTWOFLOORS,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,32000.0,781,,LOWESTFLRABOVEGROUNDLEVELHIGHFLRS,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"9999",,YES,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,P3A,"{""s_RRMethod"":""7"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2017-02-22 12:00:00",1,"2023-12-01 21:37:38"
4,2,4,4,"485488",,"0011",D,X,X,,GALVESTON COUNTY,NOGRANDFATHERING,,"485488","0011",D,X,,,,,,,,,PRP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1994-04-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDTWOFLOORS,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,32000.0,781,,LOWESTFLRABOVEGROUNDLEVELHIGHFLRS,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"9999",,YES,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,P3A,"{""s_RRMethod"":""7"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2018-03-08 12:00:00",1,"2023-12-01 21:37:38"
5,2,5,5,"485488",,"0041",G,X,X,,GALVESTON COUNTY,NOGRANDFATHERING,,"000000","","",X,,,,,,,,,PRP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1994-04-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDTWOFLOORS,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,320000.0,78,,LOWESTFLRABOVEGROUNDLEVELHIGHFLRS,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"9999",,YES,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,P3A,"{""s_RRMethod"":""7"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2019-03-05 12:00:00",1,"2023-12-01 21:37:39"
6,2,5,6,"485488",,"0041",G,X,X,,GALVESTON COUNTY,NOGRANDFATHERING,,"485488","0041",G,X,,,,,,,,,PRP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1994-04-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDTWOFLOORS,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,32000.0,781,,LOWESTFLRABOVEGROUNDLEVELHIGHFLRS,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"9999","2019-08-15",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,P3A,"{""s_RRMethod"":""7"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2020-03-25 12:00:00",1,"2023-12-01 21:37:40"
7,2,6,7,"485488",,"0041",G,X,X,,GALVESTON COUNTY,NOGRANDFATHERING,,"485488","0041",G,X,,,,,,,,,PRP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1994-04-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDTWOFLOORS,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,32000.0,781,,LOWESTFLRABOVEGROUNDLEVELHIGHFLRS,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"9999","2019-08-15",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,P3A,"{""s_RRMethod"":""7"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2020-03-30 12:00:00",1,"2023-12-01 21:37:41"
8,2,7,8,"485488",,"0041",G,X,X,,GALVESTON COUNTY,NOGRANDFATHERING,,"485488","0041",G,X,,,,,,,,,PRP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1994-04-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDTWOFLOORS,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,32000.0,781,,LOWESTFLRABOVEGROUNDLEVELHIGHFLRS,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"9999","2019-08-15",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,P3A,"{""s_RRMethod"":""7"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2021-03-28 12:00:00",1,"2023-12-01 21:37:41"
9,3,8,9,"320018",,"8825",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"000000","","",AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2000-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,150000.0,167,,LOWESTFLRONLYABOVEGROUNDLEVEL,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"1","1990-09-28",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2016-03-14 12:00:00",1,"2023-12-01 21:40:35"
10,4,9,10,"065071",,"0687",E,AH,AH,,TULARE COUNTY,NOGRANDFATHERING,,"065071","0687",E,AH,,,,,,,,,SFIP,LENDER30,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1995-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100NONRESIDENTIAL",,SLABONGRADE,FLDTWOFLOORS,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,8100.0,999,,,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"9999",,NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2016-02-05 12:00:00",1,"2023-12-01 21:40:35"
